t,h
5.186035156250000000e+01,-6.186885087475417789e-26
5.186132812500000000e+01,4.683596408484119722e-27
5.186230468750000000e+01,2.013828505325744299e-26
5.186328125000000000e+01,-5.549983549324770429e-26
5.186425781250000000e+01,3.348835682883167261e-26
5.186523437500000000e+01,1.353606608612553872e-26
5.186621093750000000e+01,-4.572313696554859769e-26
5.186718750000000000e+01,4.060073988253158660e-26
5.186816406250000000e+01,-5.902392146039798097e-27
5.186914062500000000e+01,-5.549285219037982250e-26
5.187011718750000000e+01,2.725381478366282454e-26
5.187109375000000000e+01,-2.984932430023073930e-26
5.187207031250000000e+01,-3.625974425495678078e-26
5.187304687500000000e+01,3.746729408581055268e-26
5.187402343750000000e+01,-4.004851821149705571e-26
5.187500000000000000e+01,5.757075973470952989e-27
5.187597656250000000e+01,4.719721852631605318e-26
5.187695312500000000e+01,-5.593102977439579162e-26
5.187792968750000000e+01,3.445700082028121426e-26
5.187890625000000000e+01,1.631862617080618255e-26
5.187988281250000000e+01,-4.559146512150997088e-26
5.188085937500000000e+01,3.368078747014329448e-26
5.188183593750000000e+01,-6.167115872212633027e-27
5.188281250000000000e+01,-3.442680517669637546e-26
5.188378906250000000e+01,3.621134593463954459e-26
5.188476562500000000e+01,-2.779994452710352886e-26
5.188574218750000000e+01,-9.589290675199234589e-27
5.188671875000000000e+01,5.318971281499157172e-26
5.188769531250000000e+01,-5.611037084964415774e-26
5.188867187500000000e+01,-8.202703023351900456e-28
5.188964843750000000e+01,3.468925608771694706e-26
5.189062500000000000e+01,-4.871198604939463893e-26
5.189160156250000000e+01,1.629348550451945931e-26
5.189257812500000000e+01,1.701199198124053807e-26
5.189355468750000000e+01,-5.124324913004572262e-26
5.189453125000000000e+01,3.612403224383143327e-26
5.189550781250000000e+01,-1.416068801957225480e-27
5.189648437500000000e+01,-3.602782440671011494e-26
5.189746093750000000e+01,6.090984519262707459e-26
5.189843750000000000e+01,-1.730444831441009980e-26
5.189941406250000000e+01,-2.087494384342962276e-26
5.190039062500000000e+01,3.838396766320801736e-26
5.190136718750000000e+01,-3.690239555480322111e-26
5.190234375000000000e+01,-4.750946537622403170e-27
5.190332031250000000e+01,5.181972432700874371e-26
5.190429687500000000e+01,-6.862551800445170756e-26
5.190527343750000000e+01,2.451417909201244340e-26
5.190625000000000000e+01,3.341542671843173163e-26
5.190722656250000000e+01,-4.206307524158838949e-26
5.190820312500000000e+01,4.714028332070255632e-26
5.190917968750000000e+01,3.007251359948677516e-26
5.191015625000000000e+01,-3.735753069123206318e-26
5.191113281250000000e+01,5.609855654250186549e-26
5.191210937500000000e+01,-1.005965181311901324e-26
5.191308593750000000e+01,-3.579613497984042024e-26
5.191406250000000000e+01,6.890223244290255851e-26
5.191503906250000000e+01,-2.375583660485214945e-26
5.191601562500000000e+01,1.431117376046521116e-29
5.191699218750000000e+01,4.713029766595039061e-26
5.191796875000000000e+01,-4.387987125679067924e-26
5.191894531250000000e+01,2.346072858601319832e-26
5.191992187500000000e+01,4.413665146960946714e-26
5.192089843750000000e+01,-4.622268533941844491e-26
5.192187500000000000e+01,4.175766935806191055e-27
5.192285156250000000e+01,1.818095646334224870e-26
5.192382812500000000e+01,-4.827742638135139363e-26
5.192480468750000000e+01,4.239816973834535401e-26
5.192578125000000000e+01,4.997787059894035857e-27
5.192675781250000000e+01,-3.323075084555849839e-26
5.192773437500000000e+01,5.051987371045544278e-26
5.192871093750000000e+01,-5.838828247798154436e-27
5.192968750000000000e+01,-1.056194119512825105e-26
5.193066406250000000e+01,7.216632624667448520e-26
5.193164062500000000e+01,-3.604831066577089170e-26
5.193261718750000000e+01,6.321543873181914400e-27
5.193359375000000000e+01,4.645182746566605139e-26
5.193457031250000000e+01,-6.963070431062254626e-26
5.193554687500000000e+01,1.834330332581104283e-26
5.193652343750000000e+01,3.025058331615001292e-26
5.193750000000000000e+01,-5.156254660499215877e-26
5.193847656250000000e+01,3.430513330235917394e-26
5.193945312500000000e+01,1.337823971509422940e-26
5.194042968750000000e+01,-6.390008392851767162e-26
5.194140625000000000e+01,4.762336046771238872e-26
5.194238281250000000e+01,-2.389508072635357560e-26
5.194335937500000000e+01,-2.047352937445527023e-26
5.194433593750000000e+01,4.453366004296351467e-26
5.194531250000000000e+01,-3.682307667811880370e-26
5.194628906250000000e+01,-2.657116877704927872e-26
5.194726562500000000e+01,3.902678566540357726e-26
5.194824218750000000e+01,-4.765654818660448302e-26
5.194921875000000000e+01,6.087534306367528653e-27
5.195019531250000000e+01,2.026260190108228483e-26
5.195117187500000000e+01,-5.114499278679200536e-26
5.195214843750000000e+01,2.848350819154481348e-26
